CompanyName,Net Worth (Market Cap),Market Share,Vertical Integration Index,Sources
Whirlpool Corp.,$8B,~5% (appliances),High,"companiesmarketcap.com, Whirlpool annual report, Statista"
Henkel AG,$35B,~4% (adhesives/consumer goods),High,"companiesmarketcap.com, Henkel annual report, Euromonitor"
Nike,$135B,~18% (athletic footwear/apparel),High,"companiesmarketcap.com, Nike annual report, NPD/Circana"
VF Corp.,$12B,~3% (apparel),Medium,"companiesmarketcap.com, VF Corp annual report, Euromonitor"
Kering,$80B,~5% (luxury fashion),Medium,"companiesmarketcap.com, Kering annual report, Bain Luxury Study"
Richemont,$55B,~4% (luxury goods),Medium,"companiesmarketcap.com, Richemont annual report, Bain Luxury Study"
The Hershey Company,$42B,~32% (US chocolate market),High,"companiesmarketcap.com, Hershey annual report, IRI/Nielsen"
J.M. Smucker Company,$13B,~5% (US packaged foods),Medium,"companiesmarketcap.com, Smucker annual report, IRI"
Campbell Soup Company,$14B,~8% (US soup market),Medium,"companiesmarketcap.com, Campbell annual report, IRI/Nielsen"
The Clorox Company,$18B,~15% (US cleaning products),Medium,"companiesmarketcap.com, Clorox annual report, IRI/Nielsen"
Church & Dwight Co. Inc.,$25B,~7% (household products),Medium,"companiesmarketcap.com, Church & Dwight annual report, IRI"
McCormick & Company,$22B,~12% (spices/seasonings),Medium,"companiesmarketcap.com, McCormick annual report, Euromonitor"
Constellation Brands,$45B,~8% (premium beer/wine),High,"companiesmarketcap.com, Constellation annual report, IRI"
Pernod Ricard,$55B,~6% (spirits),Medium,"companiesmarketcap.com, Pernod Ricard annual report, IWSR"
Carlsberg A/S,$20B,~7% (global beer),High,"companiesmarketcap.com, Carlsberg annual report, Euromonitor"
Molson Coors Brewing Co.,$12B,~5% (beer),High,"companiesmarketcap.com, Molson Coors annual report, IRI"
Asahi Group Holdings,$25B,~6% (beer/beverages),High,"companiesmarketcap.com, Asahi annual report, Euromonitor"
Kirin Holdings,$18B,~4% (beer/beverages),High,"companiesmarketcap.com, Kirin annual report, Euromonitor"
Swatch Group AG,$12B,~8% (watches),Low,"companiesmarketcap.com, Swatch annual report, Federation of the Swiss Watch Industry"
Ralph Lauren Corp.,$8B,~2% (apparel),Low,"companiesmarketcap.com, Ralph Lauren annual report, Euromonitor"
PVH Corp.,$6B,~3% (apparel),Low,"companiesmarketcap.com, PVH annual report, Euromonitor"
Tapestry Inc.,$10B,~2% (luxury accessories),Low,"companiesmarketcap.com, Tapestry annual report, Euromonitor"
Levi Strauss,$6B,~4% (denim),Medium,"companiesmarketcap.com, Levi's annual report, NPD"
Under Armour,$3B,~2% (athletic apparel),Low,"companiesmarketcap.com, Under Armour annual report, NPD"
Hanesbrands Inc.,$4B,~6% (intimate apparel),High,"companiesmarketcap.com, Hanesbrands annual report, NPD"
Coty Inc.,$7B,~3% (beauty),Low,"companiesmarketcap.com, Coty annual report, Euromonitor"
Shiseido Co.,$12B,~4% (cosmetics),Medium,"companiesmarketcap.com, Shiseido annual report, Euromonitor"
Beiersdorf AG,$22B,~3% (personal care),Medium,"companiesmarketcap.com, Beiersdorf annual report, Euromonitor"
Newell Brands,$6B,~2% (consumer products),Low,"companiesmarketcap.com, Newell annual report, Euromonitor"
Skechers,$7B,~3% (footwear),Low,"companiesmarketcap.com, Skechers annual report, NPD"
Mattel Inc.,$6B,~15% (toys),Low,"companiesmarketcap.com, Mattel annual report, NPD"
Electronic Arts,$38B,~12% (gaming software),Low,"companiesmarketcap.com, EA annual report, Newzoo"
Nintendo Co.,$55B,~20% (gaming),High,"companiesmarketcap.com, Nintendo annual report, Newzoo"
Bandai Namco Holdings Inc.,$15B,~5% (gaming/toys),Medium,"companiesmarketcap.com, Bandai Namco annual report, Newzoo"
Post Holdings,$8B,~4% (cereals),Medium,"companiesmarketcap.com, Post annual report, IRI"
Hormel Foods,$18B,~5% (packaged meats),High,"companiesmarketcap.com, Hormel annual report, IRI"
Tyson Foods,$22B,~25% (US meat processing),Extensive,"companiesmarketcap.com, Tyson annual report, USDA"
JBS S.A.,$12B,~20% (global meat processing),Extensive,"companiesmarketcap.com, JBS annual report, Rabobank"
BRF – Brasil Foods,$5B,~8% (Brazil meat processing),Extensive,"companiesmarketcap.com, BRF annual report, ABPA"
WH Group Ltd.,$8B,~15% (pork processing),Extensive,"companiesmarketcap.com, WH Group annual report, USDA"
Altria Group,$85B,~50% (US cigarettes),Low,"companiesmarketcap.com, Altria annual report, Euromonitor"
Philip Morris International,$165B,~15% (international cigarettes),Low,"companiesmarketcap.com, PMI annual report, Euromonitor"
British American Tobacco PLC,$75B,~12% (global tobacco),Low,"companiesmarketcap.com, BAT annual report, Euromonitor"
Imperial Tobacco Group,$18B,~4% (tobacco),Low,"companiesmarketcap.com, Imperial Brands annual report, Euromonitor"
Japan Tobacco Inc.,$45B,~10% (global tobacco),Low,"companiesmarketcap.com, JT annual report, Euromonitor"
3M Co.,$65B,Diversified industrial,High,"companiesmarketcap.com, 3M annual report"
Stanley Black & Decker,$12B,~8% (tools),High,"companiesmarketcap.com, Stanley B&D annual report, Freedonia"
BSH Hausgeräte,$20B (private),~15% (European appliances),High,"BSH company reports, Statista, GfK"
AB Electrolux,$8B,~5% (appliances),High,"companiesmarketcap.com, Electrolux annual report, Euromonitor"
Grupo Bimbo,$12B,~35% (Latin America baked goods),High,"companiesmarketcap.com, Grupo Bimbo annual report, Euromonitor"
Associated British Foods,$25B,Diversified,Medium,"companiesmarketcap.com, ABF annual report"
Hermès International,$220B,~3% (luxury goods),High,"companiesmarketcap.com, Hermès annual report, Bain Luxury Study"
Keurig Dr Pepper,$45B,~12% (US coffee/soft drinks),High,"companiesmarketcap.com, KDP annual report, IRI/Beverage Digest"
ITC Ltd.,$55B,Diversified (India),Medium,"companiesmarketcap.com, ITC annual report, BSE India"
Fonterra Cooperative Group,$8B (cooperative),~30% (New Zealand dairy),Extensive,"Fonterra annual report, NZ Dairy Statistics, DCANZ"
Arla Foods,$12B (cooperative),~15% (European dairy),Extensive,"Arla annual report, Euromonitor, European Dairy Association"
Saputo Inc.,$8B,~15% (Canadian dairy),High,"companiesmarketcap.com, Saputo annual report, Agriculture Canada"
China Mengniu Dairy Co.,$12B,~20% (China dairy),High,"companiesmarketcap.com, Mengniu annual report, Euromonitor"
Yili Group,$15B,~25% (China dairy),High,"companiesmarketcap.com, Yili annual report, Euromonitor"
Groupe SEB,$8B,~8% (small appliances),Medium,"companiesmarketcap.com, SEB annual report, Euromonitor"
Haier Smart Home Co. Ltd.,$35B,~15% (appliances),High,"companiesmarketcap.com, Haier annual report, Euromonitor"
Arçelik A.Ş.,$5B,~8% (European appliances),High,"companiesmarketcap.com, Arçelik annual report, Euromonitor"
Kao Corp.,$18B,~5% (personal care),Medium,"companiesmarketcap.com, Kao annual report, Euromonitor"
Abbott – Nutrition,$45B,~12% (nutritional products),High,"companiesmarketcap.com, Abbott annual report, Euromonitor"
Bayer Consumer Health,$28B,~6% (OTC healthcare),Medium,"Bayer annual report, Kenvue transaction docs, Euromonitor"
Unicharm Corp.,$15B,~8% (hygiene products),Medium,"companiesmarketcap.com, Unicharm annual report, Euromonitor"
Essity,$12B,~7% (hygiene/tissue),Medium,"companiesmarketcap.com, Essity annual report, Euromonitor"
Savencia SA,$4B (private),~3% (cheese/dairy),Medium,"Savencia company reports, FranceAgriMer, Euromonitor"
First Pacific Co.,$5B,Diversified conglomerate,Low,"companiesmarketcap.com, First Pacific annual report, HKEX"
Uni-President Enterprises,$8B,~15% (Taiwan food/beverage),Medium,"companiesmarketcap.com, Uni-President annual report, Euromonitor"
Royal FrieslandCampina N.V.,$8B (cooperative),~12% (European dairy),Extensive,"FrieslandCampina annual report, European Dairy Assn, Rabobank"
Thai Beverage Public Co.,$12B,~40% (Thailand beverages),High,"companiesmarketcap.com, ThaiBev annual report, Euromonitor"
San Miguel Food & Beverage,$8B,~45% (Philippines food/beverage),High,"companiesmarketcap.com, San Miguel annual report, Euromonitor"
Danish Crown,$6B (cooperative),~20% (European pork),Extensive,"Danish Crown annual report, Euromonitor, AVEC"
NH Foods Ltd.,$5B,~15% (Japan meat processing),Extensive,"companiesmarketcap.com, NH Foods annual report, MAFF Japan"
Makro Corporation,$3B,Regional distributor,Low,"Stock Exchange of Thailand, Makro financial statements"
Halon,$1B (private),Regional,Low,"Private company estimates, industry databases"
Conagra Brands,$14B,~4% (packaged foods),Medium,"companiesmarketcap.com, Conagra annual report, IRI"
Brown-Forman,$18B,~5% (spirits),Low,"companiesmarketcap.com, Brown-Forman annual report, IWSR"
Beam Suntory,$25B (private),~8% (spirits),Medium,"Suntory Holdings reports, IWSR, Drinks International"
Bacardi Limited,$15B (private),~6% (spirits),Low,"Forbes Private Companies, IWSR, Bacardi company reports"
Bath & Body Works,$8B,~12% (US personal care retail),Low,"companiesmarketcap.com, BBW annual report, Euromonitor"
Victoria's Secret & Co.,$4B,~8% (intimate apparel retail),Low,"companiesmarketcap.com, VSCO annual report, NPD"
Gap Inc.,$8B,~3% (apparel retail),Low,"companiesmarketcap.com, Gap annual report, Euromonitor"
L Brands,$12B (former parent),Legacy holding,Low,"Historical SEC filings, spin-off documents"
American Eagle Outfitters,$4B,~2% (apparel retail),Low,"companiesmarketcap.com, AEO annual report, Euromonitor"
Abercrombie & Fitch Co.,$7B,~2% (apparel retail),Low,"companiesmarketcap.com, A&F annual report, Euromonitor"
"Urban Outfitters, Inc.",$3B,~1% (apparel retail),Low,"companiesmarketcap.com, URBN annual report, Euromonitor"
Kohl's,$3B,~3% (department stores),Low,"companiesmarketcap.com, Kohl's annual report, Euromonitor"
Target Corporation,$65B,~8% (US retail),Low,"companiesmarketcap.com, Target annual report, Euromonitor"
Trader Joe's,$18B (private),~3% (US grocery),Medium,"Forbes estimates, Supermarket News, IBISWorld"
Albertsons Companies,$12B,~5% (US grocery),Medium,"companiesmarketcap.com, Albertsons annual report, FMI"
Kroger,$38B,~10% (US grocery),Medium,"companiesmarketcap.com, Kroger annual report, FMI"
Red Bull,$18B (private),~30% (energy drinks),High,"Forbes estimates, Euromonitor, Beverage Digest"
Monster Beverage,$55B,~35% (US energy drinks),Low,"companiesmarketcap.com, Monster annual report, IRI"
Celsius,$8B,~5% (energy drinks),Low,"companiesmarketcap.com, Celsius annual report, IRI"
LaCroix,$2B,~8% (sparkling water),Low,"National Beverage Corp filings, IRI, Nielsen"
Liquid Death,$1.4B (private),~2% (canned water),Low,"Private funding rounds, Pitchbook, market research"
Kind LLC,$5B (subsidiary),~15% (nutrition bars),Low,"Mars subsidiary, IRI, Nielsen data"
Perfect Bar,$500M (private),~3% (protein bars),Low,"Private company estimates, IRI, SPINS"
Dannon,$8B (subsidiary),~25% (US yogurt),High,"Danone subsidiary reports, IRI, Nielsen"
Siggi's,$300M (private),~5% (Icelandic yogurt),Low,"Private estimates, IRI, SPINS"
So Delicious,$500M (subsidiary),~8% (dairy-free),Low,"Danone subsidiary, SPINS, IRI"
Amy's Kitchen,$600M (private),~15% (organic frozen foods),Low,"Private company estimates, SPINS, Organic Trade Assn"
Burt's Bees,$500M (subsidiary),~5% (natural personal care),Low,"Clorox subsidiary reports, SPINS, Euromonitor"
Seventh Generation,$300M (subsidiary),~3% (eco-cleaning),Low,"Unilever subsidiary, SPINS, IRI"
Method,$200M (private),~2% (eco-cleaning),Low,"Private estimates, SPINS, Euromonitor"
Mrs. Meyer's,$400M (subsidiary),~4% (natural cleaning),Low,"SC Johnson subsidiary, SPINS, IRI"
